type,met
바벨 스쿼트,6
다트,2.5
야구 캐치볼,2.5
당구,2.5
요가,2.5
하타 요가,2.5
파워요가,4
수리야 나마스까 요가,3.3
나디소다나 요가,2
스트레칭(가볍게),2.5
낚시,3
대청소,3
세차,3
볼링,3
유연체조,3.5
타이치,4
수중 에어로빅,4
팔굽혀펴기(격렬하게),8
푸쉬업(가볍게),3
푸쉬업(격렬하게),8
런지(보통으로),3.8
레그 레이즈,5
와일드 런지,5.5
윗몸일으키기(가볍게),2.8
윗몸일으키기(격렬하게),8
크런치(가볍게),3
크런치(격렬하게),8
스쿼트,5.5
탁구랠리,4
태극권,4
아쿠아로빅,4
골프,4.8
라인댄스,7.8
싸이클론,7
사이클론,7
체스트 프레스,5
제자리뛰기,5.5
트랙걷기,4.5
운동장 걷기,4.5
배드민턴 랠리,4.5
걷기,4.5
농구슈팅 연습,4.5
재즈댄스,4.8
트위스트 댄스,4.8
헬스(격렬하게),7.8
테니스 복식경기,5
레프팅,5
에어로빅(저강도),5
에어로빅(중강도),6.5
에어로빅(고강도),7.3
댄스(가볍게),4.5
살사댄스,4.5
플라멩고,4.5
포크댄스,7.8
다이어트 댄스,4.5
싸이클,7
볼륨댄스,5.5
스포츠댄스,5.5
댄스스포츠,5.5
탱고,5.5
테니스 단식경기,7
스케이팅,7
달리기/걷기,6
재즈사이즈,6
런닝머신(달리기),9
웨이트운동(보통으로) - 전신,5
웨이트운동(가볍게) - 전신,3.5
저항성운동(가볍게) - 전신,3.5
보디빌딩(격렬하게),6
보디빌딩(가볍게),3.5
레그 프레스,5
아령들기,5.5
훌라후프,5.5
캠핑,2.5
케틀벨,5.5
스텝박스,5.5
계단내려가기,3
계단오르기,8
스크린골프,4
턱걸이(보통으로),5
풀업(가볍게) - 상지(어깨),2.8
풀업(보통으로) - 상지(어깨),3.8
로프운동,6
스키,6
스키(가볍게),5
스키머신(보통으로),6.8
하이킹,6
산책,4
산행,4
풋살,8
족구,5.5
에어로빅,6
수상스키,6
야구피칭,6
수영(자유영),6.1
자유수영,6
빠르게 걷기,6
모래주머니 차고 걷기,6.8
속보,6
권투펀칭,6
